Time,W,A,C,S,Temperature
2.710000,0.002228,0.000687,2.200704,0.000123,29.759016
2.720000,0.002231,0.000687,2.199911,0.000122,29.760521
2.730000,0.002233,0.000688,2.199119,0.000121,29.762012
2.740000,0.002235,0.000688,2.198328,0.000119,29.763489
2.750000,0.002237,0.000688,2.197538,0.000118,29.764953
2.760000,0.002239,0.000689,2.196748,0.000117,29.766404
2.770000,0.002242,0.000689,2.195960,0.000116,29.767840
2.780000,0.002244,0.000689,2.195172,0.000115,29.769263
2.790000,0.002246,0.000690,2.194385,0.000114,29.770673
2.800000,0.002248,0.000690,2.193598,0.000113,29.772069
2.810000,0.002251,0.000690,2.192813,0.000112,29.773451
2.820000,0.002253,0.000691,2.192028,0.000111,29.774819
2.830000,0.002255,0.000691,2.191244,0.000110,29.776174
2.840000,0.002257,0.000691,2.190461,0.000109,29.777516
2.850000,0.002260,0.000692,2.189679,0.000108,29.778843
2.860000,0.002262,0.000692,2.188897,0.000107,29.780157
2.870000,0.002264,0.000693,2.188117,0.000106,29.781458
2.880000,0.002266,0.000693,2.187337,0.000105,29.782744
2.890000,0.002269,0.000693,2.186558,0.000104,29.784017
2.900000,0.002271,0.000694,2.185779,0.000103,29.785276
2.910000,0.002273,0.000694,2.185002,0.000102,29.786522
2.920000,0.002275,0.000694,2.184225,0.000101,29.787754
2.930000,0.002278,0.000695,2.183449,0.000100,29.788972
2.940000,0.002280,0.000695,2.182674,0.000099,29.790176
2.950000,0.002282,0.000695,2.181899,0.000098,29.791367
2.960000,0.002285,0.000696,2.181126,0.000098,29.792544
2.970000,0.002287,0.000696,2.180353,0.000097,29.793708
2.980000,0.002289,0.000696,2.179581,0.000096,29.794857
2.990000,0.002291,0.000697,2.178810,0.000095,29.795993
3.000000,0.002294,0.000697,2.178039,0.000094,29.797115
3.010000,0.002296,0.000697,2.177269,0.000093,29.798224
3.020000,0.002298,0.000698,2.176500,0.000092,29.799319
3.030000,0.002301,0.000698,2.175732,0.000091,29.800400
3.040000,0.002303,0.000698,2.174965,0.000091,29.801467
3.050000,0.002305,0.000699,2.174198,0.000090,29.802521
3.060000,0.002308,0.000699,2.173432,0.000089,29.803561
3.070000,0.002310,0.000699,2.172667,0.000088,29.804587
3.080000,0.002312,0.000700,2.171903,0.000087,29.805600
3.090000,0.002314,0.000700,2.171139,0.000087,29.806599
3.100000,0.002317,0.000701,2.170376,0.000086,29.807584
3.110000,0.002319,0.000701,2.169614,0.000085,29.808556
3.120000,0.002321,0.000701,2.168853,0.000084,29.809513
3.130000,0.002324,0.000702,2.168092,0.000083,29.810458
3.140000,0.002326,0.000702,2.167333,0.000083,29.811388
3.150000,0.002328,0.000702,2.166574,0.000082,29.812305
3.160000,0.002331,0.000703,2.165815,0.000081,29.813208
3.170000,0.002333,0.000703,2.165058,0.000080,29.814097
3.180000,0.002335,0.000703,2.164301,0.000080,29.814973
3.190000,0.002338,0.000704,2.163545,0.000079,29.815835
3.200000,0.002340,0.000704,2.162790,0.000078,29.816684
3.210000,0.002342,0.000704,2.162036,0.000078,29.817519
3.220000,0.002345,0.000705,2.161282,0.000077,29.818340
3.230000,0.002347,0.000705,2.160529,0.000076,29.819148
3.240000,0.002349,0.000705,2.159777,0.000075,29.819942
3.250000,0.002352,0.000706,2.159025,0.000075,29.820722
3.260000,0.002354,0.000706,2.158275,0.000074,29.821489
3.270000,0.002356,0.000707,2.157525,0.000073,29.822243
3.280000,0.002359,0.000707,2.156775,0.000073,29.822982
3.290000,0.002361,0.000707,2.156027,0.000072,29.823708
3.300000,0.002363,0.000708,2.155279,0.000071,29.824421
3.310000,0.002366,0.000708,2.154532,0.000071,29.825120
3.320000,0.002368,0.000708,2.153786,0.000070,29.825806
3.330000,0.002371,0.000709,2.153040,0.000069,29.826478
3.340000,0.002373,0.000709,2.152296,0.000069,29.827136
3.350000,0.002375,0.000709,2.151552,0.000068,29.827781
3.360000,0.002378,0.000710,2.150808,0.000068,29.828413
3.370000,0.002380,0.000710,2.150066,0.000067,29.829031
3.380000,0.002382,0.000710,2.149324,0.000066,29.829636
3.390000,0.002385,0.000711,2.148583,0.000066,29.830227
3.400000,0.002387,0.000711,2.147843,0.000065,29.830805
3.410000,0.002390,0.000711,2.147103,0.000065,29.831369
3.420000,0.002392,0.000712,2.146364,0.000064,29.831920
3.430000,0.002394,0.000712,2.145626,0.000063,29.832458
